###################################################
# Type        time       iteration         rpmax   
#   s           d            l               d     
###################################################
        DR       2.2949            1     15.000
        DR       2.2995            2     15.000
        DR       2.3091            3     15.000
        DR       2.2953            4     15.000
        DR       2.3113            5     15.000
        DR       2.2866            6     15.000
        DR       2.4517            7     15.000
        DR       2.3326            8     15.000
        DR       2.3084            9     15.000
        DR       2.3346           10     15.000
        DR       2.3235            1     20.000
        DR       2.2841            2     20.000
        DR       2.2804            3     20.000
        DR       2.2849            4     20.000
        DR       2.3100            5     20.000
        DR       2.5123            6     20.000
        DR       2.1162            7     20.000
        DR       2.0693            8     20.000
        DR       2.0715            9     20.000
        DR       2.3541           10     20.000
        DR       2.3581            1     25.000
        DR       2.0687            2     25.000
        DR       2.0912            3     25.000
        DR       2.0780            4     25.000
        DR       2.3675            5     25.000
        DR       2.3570            6     25.000
        DR       2.6679            7     25.000
        DR       2.3622            8     25.000
        DR       2.0755            9     25.000
        DR       2.1572           10     25.000
        DR       2.4567            1     30.000
        DR       3.0539            2     30.000
        DR       2.7401            3     30.000
        DR       2.7611            4     30.000
        DR       2.7368            5     30.000
        DR       2.4549            6     30.000
        DR       2.4564            7     30.000
        DR       2.4689            8     30.000
        DR       2.4516            9     30.000
        DR       2.4624           10     30.000
        DR       3.7029            1     35.000
        DR       3.4763            2     35.000
        DR       3.4800            3     35.000
        DR       3.1647            4     35.000
        DR       3.1718            5     35.000
        DR       3.7097            6     35.000
        DR       3.1547            7     35.000
        DR       3.1687            8     35.000
        DR       3.2089            9     35.000
        DR       3.2022           10     35.000
        DR       4.6191            1     40.000
        DR       4.3251            2     40.000
        DR       4.6424            3     40.000
        DR       4.3543            4     40.000
        DR       4.3356            5     40.000
        DR       4.6418            6     40.000
        DR       4.6249            7     40.000
        DR       4.8738            8     40.000
        DR       4.4068            9     40.000
        DR       4.4797           10     40.000
        DR       5.6905            1     45.000
        DR       5.9508            2     45.000
        DR       5.6646            3     45.000
        DR       5.6667            4     45.000
        DR       5.6728            5     45.000
        DR       5.6714            6     45.000
        DR       5.6634            7     45.000
        DR       5.6706            8     45.000
        DR       5.6698            9     45.000
        DR       5.6767           10     45.000
        DR       7.5066            1     50.000
        DR       7.5092            2     50.000
        DR       7.4995            3     50.000
        DR       7.4958            4     50.000
        DR       7.5219            5     50.000
        DR       7.8162            6     50.000
        DR       7.5141            7     50.000
        DR       7.5339            8     50.000
        DR       7.5257            9     50.000
        DR       7.5260           10     50.000
        DR       9.6165            1     55.000
        DR       9.6173            2     55.000
        DR       9.8760            3     55.000
        DR       9.8934            4     55.000
        DR       9.6548            5     55.000
        DR       9.6101            6     55.000
        DR       9.6180            7     55.000
        DR       9.6132            8     55.000
        DR       9.6527            9     55.000
        DR       9.9154           10     55.000
        DR      11.6840            1     60.000
        DR      11.7344            2     60.000
        DR      11.7247            3     60.000
        DR      11.7229            4     60.000
        DR      11.7083            5     60.000
        DR      11.6477            6     60.000
        DR      11.6555            7     60.000
        DR      11.6396            8     60.000
        DR      11.6342            9     60.000
        DR      11.6553           10     60.000
        DR      15.0689            1     65.000
        DR      15.0906            2     65.000
        DR      15.3838            3     65.000
        DR      15.0620            4     65.000
        DR      15.0205            5     65.000
        DR      15.0556            6     65.000
        DR      15.0471            7     65.000
        DR      15.0637            8     65.000
        DR      15.0673            9     65.000
        DR      15.0867           10     65.000
